,Nenjiang,Qiqihar,Jiamusi,Harbin,Mudanjiang,Changchun,Kaiyuan,Shenyang,Chaoyang,Dandong,Dalian,Hailar,Xilinhot,Chifeng,Doron,Bailingmiao,Hohhot,Shanbazhen,Etuoke,Datong,Taiyuan,Linyi,Changzhi,Beijing,Tianjin,Tangshan,Baoding,Zhangzhou,Shijiazhuang,Handan,Anyang,Luoyang,Zhengzhou,Nanyang,Xinyang,Dezhou,Laiyang,Jinan,Linyi,Heze,Xuzhou,Yangzhou,Nanjing,Suzhou,Shanghai,Fuyang,Bengbu,Hefei,Anqing,Tunxi,Hangzhou,Ningbo,Jinhua,Wenzhou,Jiujiang,Nanchang,Shangrao,Ji&#39;an,Ganzhou,Jianyang,Fuzhou,Yongan,Zhangzhou,Taipei,Tainan,Yun County,Yichang,Gangneung,Wuhan,Yueyang,Fuling,Changsha,Shaoyang,Zhangzhou,Shaoguan,Shantou,Guangzhou,Zhanjiang,Haikou,Guilin,Liuzhou,Baise,Zhangzhou,Nanning,Altay,Yining,Urumqi,Hami,Kashgar,Xining,Golmud,Zhangye,Lanzhou,Pingliang,Tianshui,Yinchuan,Yulin,Yan&#39;an,Xi&#39;an,Hanzhong,Ankang,Guangyuan,Wanxian,Chengdu,Kangding,Chongqing,Xichang,Tongren,Bijie,Guiyang,Xingren,Zhaotong,Dali,Tengchong,Kunming,Simao,Heihe,Changdu,Lhasa,Palizhen
1480,,,,,,3.0,4.0,,,,4.0,,,,,,,,,5.0,4,4.0,4.0,2.0,3,3,3,3.0,3,2,2.0,,4.0,,,3.0,,4.0,2.0,3.0,4.0,4.0,2.0,2.0,2,4,4,4,3,2.0,,2.0,,,3.0,4.0,4.0,1.0,,,,2.0,,,,3.0,,3.0,4,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3.0,,,,,,,,,4.0,,,2.0,,,,,,,
1481,,,,,,,,,,,,,,,,,,,,4.0,4,4.0,4.0,2.0,2,3,3,2.0,3,3,3.0,,3.0,,,2.0,,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4,5,4,4,3,3.0,,2.0,,,2.0,3.0,3.0,3.0,,2.0,,2.0,,,,5.0,,5.0,4,,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0,,5,5,4,4,4.0,,,,,,,,,3.0,,,,,3.0,,,,,
1482,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,3.0,5,4.0,1.0,3.0,2,3,2,2.0,1,2,1.0,1.0,4.0,,5.0,1.0,,3.0,2.0,3.0,3.0,4.0,4.0,2.0,1,5,5,3,4,3.0,,1.0,1.0,,3.0,3.0,1.0,3.0,,4.0,1.0,4.0,2.0,,,4.0,,3.0,3,2.0,,1.0,1.0,2.0,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,3.0,,4,4,4,4,4.0,,,,,,,,,3.0,,,,,1.0,,,,,
1483,,,,,,,,,,,,,,,,,,,,4.0,4,4.0,4.0,3.0,3,2,3,3.0,3,4,4.0,2.0,5.0,4.0,4.0,4.0,,3.0,3.0,1.0,3.0,2.0,4.0,3.0,3,4,4,4,4,2.0,,1.0,1.0,2.0,3.0,3.0,,3.0,,1.0,1.0,2.0,,,,4.0,,3.0,3,,,,,,2.0,,4.0,,,3.0,,,,,,,,,,,,,,4.0,3.0,5.0,4,4,4,4,4.0,,,4.0,,,,,,2.0,,,,,,,,,,
1484,,,,,,,,,,,,,,,,,,,,5.0,5,5.0,5.0,5.0,3,2,5,5.0,5,5,5.0,2.0,5.0,4.0,4.0,5.0,,5.0,4.0,5.0,3.0,4.0,3.0,2.0,2,4,4,4,4,3.0,,3.0,3.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,,,,5.0,,3.0,4,5.0,,4.0,5.0,2.0,,,,,,3.0,,,,,,,,,,,,,,5.0,3.0,5.0,5,5,5,5,5.0,4.0,,,,,,,,,,,,,,,,,,
1485,,,,,,2.0,,,,,,,,,,,,,,2.0,4,5.0,4.0,4.0,3,2,3,3.0,4,5,4.0,3.0,4.0,3.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4,3,3,3,4,5.0,,3.0,5.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,3.0,,4.0,3,2.0,,,,,2.0,,2.0,,,1.0,,,1.0,1.0,,,,,,,,5.0,5.0,5.0,5.0,5.0,4,4,2,2,2.0,,,,,,,,,,,,2.0,,,,,,,
1486,,,,,,,,,,,,,,,,,,,,5.0,4,4.0,5.0,4.0,3,3,4,3.0,3,5,5.0,3.0,2.0,3.0,4.0,3.0,,3.0,4.0,3.0,4.0,5.0,4.0,2.0,2,2,2,2,4,2.0,2.0,2.0,4.0,5.0,3.0,3.0,,4.0,4.0,,5.0,1.0,5.0,,,3.0,,3.0,3,5.0,,5.0,,4.0,,,,,,3.0,,,2.0,3.0,,,,,,,,3.0,3.0,5.0,5.0,3.0,4,4,5,4,4.0,,,,,,,2.0,,,,,,,,,,,,
1487,,,,,,,4.0,,4.0,,,,,,,,,,,4.0,5,2.0,2.0,4.0,2,5,2,1.0,4,3,5.0,3.0,4.0,3.0,5.0,3.0,,3.0,4.0,1.0,3.0,2.0,3.0,4.0,5,4,5,4,5,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,,,,4.0,3,4.0,2.0,3.0,2.0,4.0,,,4.0,,,3.0,,,3.0,3.0,,,,,,,,3.0,3.0,5.0,4.0,4.0,4,4,3,3,3.0,,,,,,,,,,,,,,,,,,,
1488,,,,,,,,,,,,,,,,,,,,4.0,4,4.0,4.0,3.0,2,3,2,5.0,3,1,3.0,4.0,4.0,3.0,4.0,3.0,,3.0,3.0,3.0,3.0,2.0,5.0,1.0,2,3,5,4,4,4.0,5.0,4.0,5.0,3.0,2.0,,3.0,,3.0,2.0,,2.0,,,,,,5.0,5,5.0,4.0,5.0,5.0,3.0,,,4.0,,,4.0,3.0,,4.0,4.0,,,,,,,,3.0,3.0,,,,4,4,4,2,2.0,5.0,,4.0,,4.0,,,,5.0,,,,,,,,,,
1489,,,,,,,,,,,,,,,,,,,,3.0,3,2.0,2.0,1.0,1,2,1,1.0,2,2,3.0,4.0,2.0,3.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3,2,2,2,1,3.0,5.0,4.0,4.0,2.0,3.0,,,,3.0,4.0,2.0,4.0,,,,,4,4.0,3,2.0,,3.0,3.0,3.0,,,,,,3.0,3.0,,3.0,3.0,,,,,,,,3.0,3.0,,,,5,5,5,4,4.0,5.0,,3.0,,,3.0,,,,3.0,,3.0,,,,,,,
1490,,,,,,,1.0,2.0,2.0,,,,,,,,,,,4.0,4,5.0,2.0,2.0,3,3,4,3.0,5,4,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3,3,3,3,3,3.0,2.0,3.0,1.0,3.0,3.0,,,,3.0,3.0,,,,,,,3,3.0,2,5.0,,5.0,4.0,4.0,,,,,,3.0,3.0,,3.0,3.0,,,,,,,,3.0,3.0,,,,4,4,4,4,4.0,5.0,,,,,,,,,,,3.0,,,,,,,
1491,,,,,,2.0,1.0,,1.0,,2.0,,,,,,,,,3.0,4,4.0,4.0,3.0,4,4,3,3.0,4,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,2,3,3,4,3,4.0,1.0,4.0,5.0,,2.0,,,,2.0,,,3.0,2.0,,,,4,3.0,3,,,3.0,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,,,,,,,,4.0,4.0,,,,4,4,4,2,3.0,,,,,,,,,,,,3.0,,,,,,,
1492,,,,,,,5.0,5.0,5.0,,4.0,,,,,,,,,4.0,3,3.0,3.0,5.0,3,3,3,4.0,5,5,4.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,1.0,1,2,2,3,2,3.0,2.0,2.0,3.0,,3.0,,,,3.0,,,,,,,,5,3.0,3,,,4.0,,,1.0,1,1.0,,,3.0,3.0,,2.0,4.0,,,,,,,,3.0,3.0,,,,3,3,3,3,3.0,,,,,,,,,,,,2.0,,,,,,,
1493,,,,,,,,,2.0,,,,,,,,,,,3.0,4,4.0,4.0,5.0,2,3,2,2.0,1,2,2.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,2,3,3,3,1,2.0,2.0,3.0,5.0,,1.0,1.0,,,3.0,,2.0,,2.0,,,4.0,,4.0,3,2.0,,3.0,3.0,3.0,2.0,,2.0,,,,3.0,,3.0,3.0,,,,,,,,3.0,3.0,,,,3,4,4,3,3.0,,,,,,,,,2.0,,,2.0,,,,,,,
1494,,,,,,,2.0,4.0,1.0,,5.0,,,,,,,,,4.0,4,5.0,4.0,2.0,4,3,3,4.0,3,5,3.0,3.0,2.0,4.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1,3,3,3,2,2.0,2.0,2.0,3.0,,2.0,2.0,,,3.0,3.0,,,3.0,,,3.0,,3.0,2,,,,1.0,1.0,,,,,,,1.0,,3.0,3.0,,,,,,,,3.0,3.0,,2.0,4.0,4,4,4,4,4.0,4.0,,4.0,,4.0,,,,3.0,,,,,,,,,,
1495,,,,,,,1.0,1.0,2.0,,,,,,,,,,,5.0,4,4.0,4.0,3.0,3,5,3,4.0,5,4,4.0,2.0,3.0,,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,2.0,1,3,2,2,2,4.0,3.0,4.0,3.0,4.0,3.0,3.0,,,3.0,,,,,,,3.0,,3.0,3,3.0,,5.0,5.0,,,2,,,,,3.0,,3.0,3.0,,,,,,4.0,,3.0,3.0,3.0,,5.0,5,5,4,4,4.0,,,,,,,,,3.0,,,,,,,,,,
1496,,,,,,,,,,,,,,,,,,,,5.0,4,4.0,3.0,3.0,3,3,3,3.0,3,3,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3,3,3,3,1,2.0,2.0,3.0,2.0,3.0,2.0,3.0,,,4.0,,,,,,,3.0,,3.0,3,,,2.0,,,,,,,,,3.0,,3.0,2.0,,,,,,,,,,3.0,,,4,4,4,3,3.0,,,,,,,2.0,,1.0,2.0,,,,2.0,,,,,
1497,,,,,,,,,,,,,,,,,,,,3.0,4,4.0,4.0,2.0,3,2,3,3.0,4,3,3.0,3.0,3.0,,,3.0,2.0,2.0,3.0,3.0,4.0,3.0,,2.0,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,,3.0,,2.0,3.0,,2.0,,,,,3.0,,1.0,3,,,,,,,,,,,2.0,3.0,,3.0,3.0,,,,,,,,,,4.0,,,4,4,4,3,3.0,,,,,,,3.0,,3.0,3.0,,1.0,,,,,,,
1498,,,,,,,,,,,,,,,,,,,,5.0,4,4.0,3.0,4.0,3,3,4,3.0,4,4,4.0,3.0,2.0,,,5.0,3.0,5.0,4.0,4.0,2.0,3.0,,1.0,3,2,2,2,4,4.0,3.0,2.0,5.0,4.0,,4.0,4.0,4.0,4.0,,1.0,2.0,2.0,,,2.0,2,4.0,3,,,4.0,,,4.0,4,2.0,,,5.0,5.0,4.0,5.0,4.0,,,,,,,,,,3.0,,,4,4,4,2,2.0,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,
1499,,,,,,,,,,,,,,,,,,,,4.0,3,3.0,4.0,3.0,3,3,4,3.0,3,3,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,3.0,4.0,4.0,3.0,,2.0,3,1,2,2,3,3.0,3.0,4.0,2.0,,,3.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,,,,,3.0,2,,,,,,,2,,,,4.0,3.0,,3.0,3.0,,,,,,,,,,3.0,,,3,3,3,3,3.0,,,,,,,,3.0,,3.0,,,,,,,,,
1500,,,,,,5.0,5.0,5.0,5.0,,5.0,,,,,,,,,5.0,5,4.0,5.0,3.0,3,2,4,3.0,2,3,,3.0,3.0,3.0,,3.0,3.0,2.0,3.0,2.0,1.0,2.0,,2.0,3,3,3,3,3,3.0,2.0,5.0,3.0,,,3.0,2.0,3.0,1.0,,5.0,2.0,,,,,,2.0,2,,,,,,,,,,,3.0,3.0,,3.0,3.0,,,,,,,,,,4.0,,,4,4,4,4,4.0,,,,,,,,3.0,,3.0,,,,,,,,,
1501,,,,,,,1.0,2.0,1.0,,,,,,,,,,,3.0,3,4.0,3.0,2.0,1,2,1,1.0,1,2,,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,3,4,3,3,1,1.0,3.0,5.0,3.0,,2.0,2.0,2.0,3.0,,,3.0,,5.0,,,,,2.0,3,2.0,2.0,2.0,,2.0,,,2.0,,,3.0,3.0,,4.0,2.0,,,,,,3.0,,2.0,2.0,2.0,,2.0,4,4,2,4,4.0,4.0,,,,,,,2.0,,3.0,,2.0,1.0,,,,,,
1502,,,,,,,5.0,5.0,5.0,,,,,,,,,,,2.0,1,3.0,3.0,3.0,3,3,2,3.0,3,2,,,3.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3,3,2,3,2,4.0,3.0,2.0,3.0,,3.0,4.0,,2.0,,,,,,,,,,5.0,2,,,,,1.0,,,,,,4.0,,,4.0,2.0,,,,,,3.0,,3.0,3.0,,,,2,3,3,2,2.0,,3.0,,,,,,,,3.0,,3.0,,,,,,,
1503,,,,,,,,,,,,,,,,,,,,3.0,3,3.0,3.0,2.0,2,3,2,2.0,3,3,,,3.0,,,3.0,5.0,4.0,1.0,3.0,3.0,5.0,5.0,5.0,5,4,5,5,4,4.0,5.0,5.0,3.0,,3.0,2.0,,2.0,,,3.0,,2.0,,,,,4.0,3,,,,,,2.0,,1.0,,,,,,,,,,,,,3.0,,3.0,3.0,,,,2,2,3,3,3.0,,,,,,,,,,3.0,,3.0,,3.0,,,,,
1504,,,,,,,4.0,,4.0,,,,,,,,,,,1.0,4,4.0,4.0,4.0,5,4,4,4.0,4,3,,,3.0,,,5.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3,4,4,4,3,3.0,3.0,5.0,3.0,,1.0,3.0,,3.0,,3.0,,4.0,,,,4.0,,3.0,3,3.0,,3.0,3.0,,,2,,,,,,,,,,,,,,4.0,,3.0,3.0,,,,2,4,4,4,4.0,,,,,,,,,3.0,3.0,,3.0,,,,,,,
1505,,,,,,,,,,,,,,,,,,,,4.0,5,5.0,4.0,1.0,3,3,3,3.0,2,3,,,4.0,,,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,2,5,5,5,3,3.0,2.0,3.0,2.0,,3.0,3.0,,3.0,2.0,,1.0,,,,,4.0,,3.0,3,2.0,,2.0,2.0,,2.0,,,,,,,,,,,,,,,3.0,,3.0,3.0,,3.0,,4,4,4,3,3.0,,,,,,,2.0,,3.0,3.0,,,,,,,,,
1506,,,,,,,,1.0,,,,,,,,,,,,4.0,3,4.0,3.0,3.0,2,2,2,3.0,3,3,,,5.0,,,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2,1,1,2,3,1.0,5.0,5.0,4.0,,2.0,2.0,,4.0,2.0,2.0,,2.0,,,,4.0,,3.0,3,,3.0,4.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.0,,4,4,2,3,3.0,5.0,,,,,,2.0,,5.0,3.0,,,,,,,,,
1507,,,,,,,,2.0,,,,,,,,,,,,4.0,4,4.0,5.0,3.0,2,2,3,3.0,3,3,3.0,,2.0,,,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3,3,2,2,2,3.0,2.0,3.0,4.0,,3.0,3.0,5.0,4.0,2.0,4.0,4.0,5.0,,,,3.0,,3.0,3,4.0,2.0,4.0,4.0,1.0,,,4.0,,,,3.0,,,,,,,,,,5.0,,,2.0,3.0,1.0,4,4,4,2,1.0,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,
1508,,,,,,,,,,,,,,,,,,,,2.0,1,3.0,3.0,4.0,3,5,4,3.0,3,3,,4.0,2.0,,5.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,4,4,5,5,4,4.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,3.0,,5.0,,,,,5.0,,5.0,5,4.0,3.0,5.0,4.0,4.0,,,,,,3.0,,,,,,,,,,,,,,3.0,,,1,1,3,2,2.0,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,
1509,,,,,,,,,,,,,,,,,,,,4.0,5,4.0,4.0,,3,4,2,3.0,3,4,,,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1,4,5,4,5,4.0,3.0,2.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,3.0,3.0,,4.0,,,3.0,,5.0,5,5.0,4.0,4.0,5.0,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,4,4,4,4,4.0,4.0,,,,,,2.0,3.0,3.0,3.0,,,,2.0,,,,,
1510,,,,,,,,,,,,,,,,,,,,4.0,3,3.0,3.0,4.0,4,4,2,4.0,5,3,,,2.0,3.0,3.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,1,2,2,1,2,2.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,,3.0,2.0,,,,3.0,4,3.0,4,3.0,2.0,3.0,,3.0,,,,,,3.0,,,,,,,,,,,,,,,3.0,,3,3,3,4,4.0,,,,,,,,3.0,3.0,3.0,,,,3.0,,,,,
1511,,,,,,,1.0,1.0,1.0,,,,,,,,,,,3.0,3,1.0,3.0,3.0,2,3,1,3.0,3,2,,,2.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2,3,2,1,1,2.0,2.0,5.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,,3.0,,,,,3.0,,3.0,3,3.0,1.0,3.0,3.0,2.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,4,4,4,3,3.0,5.0,2.0,,,,,,,3.0,4.0,,,,3.0,,,,,
1512,,,,,,,3.0,2.0,4.0,,,,,,,,,,,3.0,5,4.0,5.0,4.0,3,4,4,3.0,3,2,4.0,,3.0,,,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,5,4,4,4,4,3.0,2.0,1.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,,4.0,,,,,4.0,,3.0,3,4.0,1.0,,,,,,2.0,5.0,,3.0,,,3.0,4.0,,,,,,,,,,,,4.0,4,4,4,3,3.0,,,,,,,,,3.0,,,,,1.0,,,,,
1513,,,,,,,,,,,,,,,,,,,,5.0,4,1.0,1.0,4.0,4,5,5,3.0,3,4,4.0,,4.0,,,3.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4,3,4,2,2,4.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,,4.0,4.0,5.0,,,3.0,,4.0,3,5.0,,5.0,4.0,4.0,4.0,,2.0,4.0,,3.0,,,3.0,3.0,,,,,,,,,,,,,3,3,3,3,3.0,,,,,,,,,3.0,,,,,,,,,,
1514,,,,,,,6.0,5.0,5.0,,,,,,,,,,,2.0,2,2.0,2.0,2.0,2,3,2,2.0,2,4,2.0,,3.0,,,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3,4,4,5,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,2.0,3.0,,,4.0,,3.0,2,3.0,,,,,2.0,,4.0,2.0,,3.0,,,3.0,3.0,,,,,,,,,,,,,3,3,4,3,3.0,4.0,,,,,,,,4.0,,,,,,,,,,
1515,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,3.0,3.0,3,3,2,3.0,5,5,5.0,,3.0,,,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,1,5,5,4,2,2.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,,3.0,3,3.0,,,4.0,3.0,5.0,2,,,,2.0,,,3.0,4.0,,,,,,,,,,,,,2,2,3,3,3.0,,,,,,,,,3.0,,,,,,,,,,
1516,,,,,,,,,,,,,,,,,,,,5.0,1,5.0,4.0,4.0,2,5,4,2.0,2,3,4.0,,3.0,,,1.0,1.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,3,3,3,3,3,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,,3.0,3.0,,,,2.0,2,1.0,3,2.0,3.0,,3.0,4.0,2.0,,2.0,1.0,,1.0,3.0,,1.0,4.0,,,,,,,,,,,,,4,4,4,4,4.0,,,,,,,,,3.0,,,,,,,,,,
